Name,Affiliation,h-index,i10-index,Citations,College/Company,Research Interest 1,Research Interest 2
Ankur Saxena,"Associate Professor, UAB Heersink School of Medicine",15,16,2502,University of Alabama at Birmingham,Cancer Biology,Drug Discovery
Ankur Sharma,Csjmu,50,246,11664,CSJMU,Data Science,Artificial Intelligence
Ankur Shukla,"Research Scientist, Department of Risk and Security (SEC-R), Institute for Energy Technology, Halden",11,12,380,Institute for Energy Technology,Risk Management,Cybersecurity
Dr. Ankur Singh Rana,National Institute of Technology Tiruchirappalli,14,19,794,National Institute of Technology Tiruchirappalli,Renewable Energy Systems,Power Electronics
Prof. Ankur Sinha,Indian Institute of Management Ahmedabad,36,60,5278,Indian Institute of Management Ahmedabad,Operations Management,Supply Chain Management
Ankush  Kumar,VIT UNIVERSITY,39,153,7236,VIT University,Artificial Intelligence,Data Science
Ankush kumar jain,Assistant Prof Civil Engineering,7,5,237,Indian Institute of Technology (IIT) Indore,Structural Engineering,Geotechnical Engineering
Dr. Ankush Mittal,"COER University, Roorkee",33,121,4783,COER University,Artificial Intelligence,Data Mining
Ankush Sharma,Resident of urology,27,106,3556,Resident of Urology,Urological Surgery,Minimally Invasive Techniques
Anmol Sheth,A9.com (Amazon),33,45,13042,A9.com (Amazon),Machine Learning,Natural Language Processing
Annagiri Sumana,Indian Institute of Science Education and Research Kolkata,18,24,839,Indian Institute of Science Education and Research Kolkata,Animal Behavior,Social Insects
Annappa B,"Professor, Dept. of Computer Science & Engg., National Institute of Technology, Karnataka",20,39,1475,National Institute of Technology Karnataka,Data Mining,Machine Learning
Anoop Koshy George,"Assistant Professor in Economics, Mar Thoma College Tiruvalla",0,0,0,Mar Thoma College Tiruvalla,Economics,Development Economics
Anup K Singh,"Principal Associate Director, Engineering Directorate",56,135,12297,Lawrence Livermore National Laboratory,Engineering Systems,Advanced Materials
Anshu Anand,IIT Roorkee,9,8,612,IIT Roorkee,Structural Engineering,Earthquake Engineering
Anshu Gaur,Indian Institute of Technology Kanpur,18,18,3949,Indian Institute of Technology Kanpur,Materials Science,Nanotechnology
Anshul Mittal,Microsoft,8,8,813,Microsoft,Artificial Intelligence,Natural Language Processing
Dr. Anshul Rai,Professor of Dentistry (Oral & Maxillofacial Surgery),16,25,1134,University of Michigan,Oral Cancer,Reconstructive Surgery
Anshul Sharma,Senior Materials Scientist,16,18,1140,Senior Materials Scientist,Materials Science,Nanotechnology
Anshumali Shrivastava,"Rice University, ThirdAI Corp.",36,71,4460,Rice University,Machine Learning,Scalable Algorithms
Anshuman Dixit,"Senior Scientist, Institute of Life Sciences, Bhubaneswar, India",32,66,2868,Institute of Life Sciences,Bhubaneswar,Cancer Biology
Antara Banerjee,CIRES / NOAA CSL,13,14,866,University of Colorado Boulder,Atmospheric Chemistry,Climate Change
Dr. Anu Elizabeth Joy,"Assistant Professor, Department of Physiology , Yenepoya University.",8,6,171,Yenepoya University,Physiology,Biomedical Research
Anu Susan Sam,Kerala Agricultural University,9,8,507,Kerala Agricultural University,Agricultural Economics,Sustainable Agriculture
Anu V S Nath,Indian Institute of Technology Madras,2,0,12,Indian Institute of Technology Madras,Materials Science,Nanotechnology
Anubha Mahajan,Senior Researcher in Human Genetics,98,202,81087,University of Liverpool,Human Genetics,Complex Disease Genetics
Anubha Goel,"indian institute of technology kanpur, kanpur, india",17,21,804,Indian Institute of Technology Kanpur,Environmental Engineering,Water Resources Management
Anubhab Roy,Indian Institute of Technology Madras,10,13,579,Indian Institute of Technology Madras,Fluid Dynamics,Soft Matter Physics
Anuj Bhardwaj,"Associate Professor, Jaypee Institute of Information Technology, Sector-62, Noida, Pin 201309, U.P",9,9,710,Jaypee Institute of Information Technology,Computer Science,Data Mining
Anuj Deshpande,"Assistant Professor of Electronics and Communication Engineering, SRM University-AP",4,1,37,SRM University-AP,Electronics and Communication Engineering,Signal Processing
anuj jain,"professor, lovely professional univesity",22,53,1955,Lovely Professional University,Data Science,Artificial Intelligence
Dr. Anuj Kumar Jain,"Professor at Chandigarh University, Mohali, Punjab",17,23,1068,Chandigarh University,Artificial Intelligence,Data Science
Dr. Anuj Kumar Sharma,"Associate Professor (Physics), National Institute of Technology Delhi",37,83,6111,National Institute of Technology Delhi,Condensed Matter Physics,Material Science
Anuj Singhal,"Professor, Department of Internal Medicine, AFMC Pune",6,3,134,Armed Forces Medical College (AFMC) Pune,Internal Medicine,Clinical Research
Anoop Gupta,SeekOut,111,396,54592,SeekOut,Artificial Intelligence,Human-Computer Interaction
Anup Kumar Biswas,"Herbert Irving Comprehensive Cancer Center, Columbia University Medical Center",15,16,1275,Columbia University,Cancer Biology,Tumor Microenvironment
Anup Dewanji,Indian Statistical Institute,23,39,1985,Indian Statistical Institute,Statistical Inference,Reliability Theory
Anup K. Ghosh,Professor at Department of Materials Science & Engineering,35,92,4341,University of Virginia,Materials Science,Nanotechnology
Anup Kumar Keshri,"Associate Professor, Metallurgical and Materials Engineering, Indian Institute of Technology, Patna",36,87,4271,Indian Institute of Technology,Patna,Materials Engineering
Anup Kumar Panda,Professor and Head  Department of Electrical Engineering,43,140,5744,Siksha 'O' Anusandhan University,Power Electronics,Renewable Energy Systems
Anup kumar Sarkar,Assistant Professor of Botany Dukhulal Nibaran Chandra College,8,6,268,Dukhulal Nibaran Chandra College,Plant Physiology,Biodiversity Conservation
"Anup Nandy, JSPS Fellow (Japan)","Associate Professor, Department of Computer Science and Engineering, NIT-Rourkela",15,26,806,NIT Rourkela,Robotics,Artificial Intelligence
Anup paul,"Researcher, Centro de Química Estrutural, Complexo I, Instituto Superior Técnico, Universidade de",23,37,1437,Instituto Superior Técnico,Universidade de Lisboa,Materials Chemistry
Anup Raj,Professor of Tree Improvement,8,7,155,Forest Research Institute,Tree Genetics,Forest Biotechnology
Anoop Balakrishnan Rema,Memorial Sloan Kettering Cancer Center,8,7,4058,Memorial Sloan Kettering Cancer Center,Cancer Biology,Precision Medicine
anupama sharma avasthi,"Assistant professor, Amity University, Noida",7,3,107,Amity University,Noida,Environmental Science
Dr. Anupam Bandyopadhyay,"Assistant Professor, Dept. of Chemistry, IIT-Ropar",20,29,1527,IIT Ropar,Organic Chemistry,Materials Chemistry
Anupam Bhattacharya,BITS-Pilani Hyderabad Campus,16,19,910,BITS-Pilani Hyderabad Campus,Quantum Computing,Condensed Matter Physics
Anupam Biswas,Assistant Professor (NIT Silchar),19,28,1164,National Institute of Technology Silchar,Machine Learning,Data Mining
Dr. Anupam Sarkar,"Director, Global Enviro-Care, Caranzalem, Goa, India, Former Sr. Principal  Scientist, National",32,83,4080,Global Enviro-Care,Environmental Science,Climate Change
Dr. Anupam Dey,"Jawaharlal Nehru Centre For Advanced Scientific Research (JNCASR), India",8,7,214,Jawaharlal Nehru Centre For Advanced Scientific Research (JNCASR),Materials Science,Nanotechnology
DR ANUPAM GHOSH,"Department of Zoology, Bankura Christian College",28,40,3730,Bankura University,Environmental Toxicology,Wildlife Conservation
Anupam Jain,Saathi Re,11,12,747,Saathi Re,Social Entrepreneurship,Sustainable Development
anupam kumar pathak,"Professor & Head , Department of Pharmacy Barkatullah University Bhopal (M.P.)",33,94,4266,Barkatullah University,Pharmaceutical Sciences,Drug Delivery Systems
Dr Anupam Kumar,"Professor of Textile Engineering, Giani Zail Singh Campus College of Engineering & Technology, Bathinda",18,54,3994,Maharaja Ranjit Singh Punjab Technical University,Textile Engineering,Sustainable Textiles
ANUPAM RAJ,Ph.D.,1,0,11,Indian Institute of Technology (IIT) Patna,Data Mining,Machine Learning
"Anupam Singha Roy, Ph.D.","School of Allied Sciences, Dev Bhoomi Uttarakhand University",32,69,2950,Dev Bhoomi Uttarakhand University,Allied Health Sciences,Public Health
Dr. Anupam Sahu,"Madan Mohan Malaviya University of Technology, Gorakhpur",10,11,374,Madan Mohan Malaviya University of Technology,Renewable Energy Systems,Power Electronics
Anupam Saxena,"Mechanical Engineering, Indian Institute of Technology Kanpur",26,51,2778,Indian Institute of Technology Kanpur,Mechanical Engineering,Robotics
Anupam Shukla,Professor of Information Technology,63,334,16114,Indian Institute of Information Technology,Artificial Intelligence,Data Mining
Anupama Bahadur,All India Institute of Medical Sciences Rishikesh,19,38,1466,All India Institute of Medical Sciences Rishikesh,Public Health,Epidemiology
Pathak A. P.,"School of Life Sciences, S R T M University",18,35,988,S R T M University,Molecular Biology,Genetics
Dr Anupama Rajesh,"Professor of IT, Amity University",9,9,374,Amity University,Information Technology,Data Science
Anupama Sharma,Professor of Chemistry,38,112,8491,Indian Institute of Technology (IIT) Roorkee,Organic Chemistry,Green Chemistry
Anupama Singh,"National Fellow, Deptt of Post Harvest Process & Food Engg, GB Pant University of agriculture and Technology Pantnagar",41,188,7086,GB Pant University of Agriculture and Technology Pantnagar,Post Harvest Processing,Food Engineering
Anupam Prakash,"Lady Hardinge Medical College & associated Hospitals, New Delhi, India",22,45,4826,Lady Hardinge Medical College & Associated Hospitals,Medical Education,Public Health
Anupam  Sharma,Professor,54,178,11641,Iowa State University,Computational Fluid Dynamics,Aeroacoustics
Anuradha Banerjee,Professor IIT Madras,14,17,551,Indian Institute of Technology Madras,Materials Science,Nanotechnology
Anuradha Natarajan,Blavatnik Biomedical Accelerator @ Harvard University,8,8,3794,Harvard University,Biomedical Innovation,Drug Development
Anurag Kumar Tiwari,NIT Jalandhar,16,27,891,NIT Jalandhar,Wireless Communication,Network Security
Anurag Ohri,"Department of Civil Engineering, Indian Institute of Technology (Banaras Hindu University), Varanasi",17,33,1138,Indian Institute of Technology (Banaras Hindu University),Structural Engineering,Geotechnical Engineering
"Srivastava Anurag, A. K. Srivastava, A. Srivastava, Anurag K Srivastava, Anurag K. Srivastava","West Virginia University, Washington State University, Pacific Northwest National Lab, Mississippi",53,203,11610,Washington State University,Power Systems,Smart Grids
Anurag Tripathi,"Principal Scientist, CSIR-Indian Institute of Toxicology Research, India",32,49,3492,CSIR-Indian Institute of Toxicology Research,Toxicology,Environmental Health
Anusha Ganesan,Kyungpook National University,2,1,21,Kyungpook National University,Artificial Intelligence,Data Mining
Dr. Anushree Ghosh,Università degli Studi di Padova,33,79,3878,Università degli Studi di Padova,Materials Science,Nanotechnology
Dr. MR Anusree,"Assistant Professor, Department of Statistics, St. Thomas College, Thrissur",16,18,1532,St. Thomas College,Thrissur,Statistics
Anustup Chakraborty,Senior research fellow,2,0,9,Indian Institute of Technology (IIT) Kharagpur,Materials Science,Nanotechnology
Aparna Basu,"Formerly Emeritus Scientist, CSIR-NISTADS",16,20,1030,CSIR-NISTADS,Science and Technology Studies,Innovation Policy
Apoorva Chaudhary,Research Scholar,5,2,74,Research Scholar,Artificial Intelligence,Data Science
Apoorva Nagar,"Associate Professor, Department of Physics, Indian Institute of Space Science and Technology",13,13,532,Indian Institute of Space Science and Technology,Condensed Matter Physics,Quantum Materials
Apoorva Sharma,"Research Scientist, NVIDIA",10,11,741,NVIDIA,Deep Learning,Computer Vision
Apratim Guha,"XLRI, Xavier School of Management",11,14,565,XLRI,Xavier School of Management,Operations Management
Apurba Kumar Bera,"Regional Remote Sensing Centre - West, Jodhpur",5,4,314,Indian Space Research Organisation (ISRO),Remote Sensing,Environmental Monitoring
Apurba Kumar Das,National Institute of Ocean Technology,32,142,6244,National Institute of Ocean Technology,Ocean Engineering,Marine Renewable Energy
Apurba Kumar Ghosh,Associate Professor,13,21,639,Indian Institute of Technology Kharagpur,Wireless Communication,Signal Processing
"Apurba Layek, FIE(I)","Professor, Department of Mechanical Engineering, National Institute of Technology Durgapur",20,33,2014,National Institute of Technology Durgapur,Mechanical Engineering,Industrial Engineering
Dr. Arabinda Ghosh,"Assistant Professor, Department of Molecular Biology and Bioinformatics, Tripura University",30,70,2606,Tripura University,Molecular Biology,Bioinformatics
ARABINDA SAMANTARAY,Cisco,5,2,65,Cisco,Network Security,Cloud Computing
Aradhana Gandhi,Head Symbiosis Centre for Behavioral Studies and Professor - SIBM Pune,16,20,914,Symbiosis International University,Behavioral Studies,Organizational Psychology
Aravind Kumar Chandiran,Indian Institute of Technology - Madras,24,36,11845,Indian Institute of Technology - Madras,Energy Materials,Solar Cells
Arvind Chandra Pandey,Central University of Jharkhand,39,102,4731,Central University of Jharkhand,Environmental Science,Sustainable Development
Archana Pai,IIT Bombay,105,218,108591,Indian Institute of Technology Bombay,Gravitational Waves,Cosmology
archana jaiswal,Nanoscience Instruments,10,10,334,Nanoscience Instruments,Nanotechnology,Materials Science
Prof. Archana Patro,Associate Professor IIM BodhGaya,9,8,275,IIM BodhGaya,Organizational Behavior,Human Resource Management
Archana Saxena,"Brown University, Providence, Rhode Island, USA",17,22,1073,Brown University,Environmental Science,Climate Change
A. Sailaja,"Professor & Head, Dept. of agricultural extension, CA, PJTSAU, HYD",5,1,99,PJTSAU,Agricultural Extension,Rural Development
Archana Srivastava,Professor of Computer,7,5,230,Indian Institute of Technology (IIT),Artificial Intelligence,Data Mining
Archana Shukla,"Assistant Professor, School of Nanoscience and Technology, IIT Kharagpur",12,15,769,Indian Institute of Technology Kharagpur,Nanomaterials,Energy Storage Devices
"Ardhendu Shekhar Singh, Fellow (IRMA)","Symbiosis School of Banking and Finance, Symbiosis International (Deemed University), Pune",10,10,793,Symbiosis International (Deemed University),Banking and Finance,Rural Management
Ahmed A. Arif,"Professor of Epidemiology, University of North Carolina at Charlotte",30,60,3583,University of North Carolina at Charlotte,Epidemiology,Public Health
Dr Arif Sikander,Senior Lecturer Murdoch University & Consultant Aviation,8,7,293,Murdoch University,Aviation Safety,Human Factors in Aviation
Arijit Bhattacharya,Associate Professor in Operations and Supply Chain Management,27,42,3695,Indian Institute of Management Lucknow,Supply Chain Management,Operations Management
arijit chakraborty,Dr.,19,25,1249,Indian Institute of Technology (IIT) Kharagpur,Quantum Computing,Condensed Matter Physics
arijit chakraborty,Dr.,19,25,1249,Indian Institute of Technology Kharagpur,Materials Science,Nanotechnology
Arijit Ghosh,Shanghai Jiao Tong University,10,10,970,Shanghai Jiao Tong University,Computer Science,Artificial Intelligence
Arindom Sen,"Professor, Chemical and Petroleum Engineering, University of Calgary",30,53,2797,University of Calgary,Chemical Engineering,Petroleum Engineering
Arindam Banerjee,"Founder Professor, Dept of Computer Science,  University of Illinois Urbana-Champaign",67,178,41136,University of Illinois Urbana-Champaign,Machine Learning,Data Mining
Arindam Basu,"Professor, City University of Hong Kong (past Associate Professor of EEE at NTU)",38,101,5018,City University of Hong Kong,Neuromorphic Engineering,Biomedical Signal Processing
Arindam Bhattacharjee,Investigator,20,26,9991,Investigator,Cancer Biology,Drug Discovery
Arindam Bhattacharya,"Indian Institute of Technology, Delhi",5,3,70,Indian Institute of Technology Delhi,Operations Research,Supply Chain Management
Dr. Arindam Biswas,"Dr. B.C Roy Engineering College, Durgapur, India.",24,94,3099,Dr. B.C Roy Engineering College,Renewable Energy,Power Systems
Arindam Chakraborty,Swami Vivekananda Institute of Science & Technology,39,104,4610,Swami Vivekananda Institute of Science & Technology,Renewable Energy,Environmental Science
Arindam (Pushan) Chowdhury,"Department of Chemistry, Indian Institute of Technology Bombay",30,53,4724,Indian Institute of Technology Bombay,Physical Chemistry,Spectroscopy
Arindam Sengupta,Sr. Aviation System Radar Engineer at Garmin,11,11,932,Garmin,Radar Systems,Aviation Technology
Arindam Banerjee Ph.D.,"CEO and Director, LifeSenz Cancer Research labs Pvt Ltd, Mumbai, India",12,14,520,LifeSenz Cancer Research Labs Pvt Ltd,Cancer Research,Biomedical Technology
Arindrajit Chowdhury,"Associate Professor, Indian Institute of Technology, Bombay",25,51,1699,Indian Institute of Technology,Bombay,Combustion
Aritra Roy Choudhury,"Director, Montana Seed Potato Certification Program",14,19,580,Montana State University,Seed Potato Certification,Plant Pathology
Aritri Bir,"Assistant Professor, Dr. B. C. Roy Multispeciality Medical Research Centre, IIT, Kharagpur",11,11,684,Indian Institute of Technology,Kharagpur,Biomedical Engineering
Subrata Roy,Aditya Birla Science and Technology Co. Ltd.,29,101,3597,Aditya Birla Science and Technology Co. Ltd.,Materials Science,Nanotechnology
Vempalli Sudharsan Varma,University of Arkansas,20,31,1462,University of Arkansas,Computer Science,Data Mining
Arka Prokash Mazumdar,"Malaviya National Institute of Technology Jaipur, india",9,9,416,Malaviya National Institute of Technology Jaipur,Power Systems,Renewable Energy Integration
Arkoprabho Hazra,"Young India Fellow, Ashoka University",1,0,1,Ashoka University,Social Sciences,Public Policy
Arnab Chakraborty,Student,29,78,3463,University of Illinois Urbana-Champaign,Urban Planning,Transportation Systems
ARNAB DUTTA,IIT Bombay,27,63,2535,IIT Bombay,Computational Biology,Systems Biology
ARNAB DUTTA,IIT Bombay,27,63,2535,IIT Bombay,Quantum Computing,Condensed Matter Physics
Arnab Hazari,"PhD Student, University of Michigan, Ann Arbor",13,14,952,University of Michigan,Ann Arbor,Quantum Materials
Arnab Hazra,"Associate Professor, Dept. of EEE, BITS-Pilani, Pilani Campus, Rajasthan",24,50,2021,BITS-Pilani,Power Systems,Renewable Energy
Arnab Jana,"Associate Professor, Department of Civil Engineering, Indian Institute of Technology Bombay",23,45,1820,Indian Institute of Technology Bombay,Urban Planning,Sustainable Development
Arnab Koley,"Assistant Professor, IIM Indore",4,2,91,IIM Indore,Operations Management,Supply Chain Management
Arnab Kumar Laha,Indian Institute of Management Ahmedabad,10,10,574,Indian Institute of Management Ahmedabad,Operations Research,Decision Analysis
Arnab Maity,North Carolina State University,25,50,2290,North Carolina State University,Statistical Methodology,Environmental Statistics
"Arnab Muhuri, PhD.-Ing.","Project Lead, NASA HW I CESBIO, CNES I Research Ambassador, Uni Heidelberg I AvH Fellow I IIT Bombay",11,12,936,NASA,Remote Sensing,Environmental Monitoring
Arnab Mukherjee,National Institute of Standards and Technology,16,18,2738,National Institute of Standards and Technology,Biophysics,Computational Biology
Arnab Rai Choudhuri,Indian Institute of Science,44,74,7521,Indian Institute of Science,Astrophysics,Solar Physics
Arnab Ghosh,"Lerner Research Institute, The Cleveland Clinic",32,97,5267,Lerner Research Institute,The Cleveland Clinic,Cancer Biology
Arpan Haldar,"Associate Professor, Department of Anatomy, All India Institute of Medical Sciences Deoghar",10,11,285,All India Institute of Medical Sciences Deoghar,Anatomy,Medical Education
Dr. Arpan Herbert,"Assistant Professor (Sr. Scale), Department of Civil Engineering, SHUATS Prayagraj",6,4,176,SHUATS Prayagraj,Structural Engineering,Environmental Engineering
Arpan Mukherjee,"Prime Minister's Research Fellow, Banaras Hindu University, INDIA",20,26,1750,Banaras Hindu University,Materials Science,Nanotechnology
Dr. Arpan Pal,"Distinguished Chief Scientist and Research Area Head, Embedded Systems, TCS Research, TCS",37,133,6136,TCS,Embedded Systems,Internet of Things
ARPITA GHOSH,ADAMAS UNIVERSITY,57,208,13479,Adamas University,Environmental Science,Sustainable Development
ARPITA Chatterjee Shahi,Assistant Professor,36,76,4643,Indian Institute of Technology Delhi,Environmental Engineering,Water Resources Management
Dr. Arpita Khare,"Associate Professor G.L Bajaj Institute of Management and Research, Greater  Noida, India",46,83,6112,G.L Bajaj Institute of Management and Research,Consumer Behavior,Services Marketing
Arpita Korwar,"Post-doctorate, IMJ-PRG, University of Paris",6,6,242,IMJ-PRG,University of Paris,Number Theory
Arpita Patnaik,Charles River Associates,5,4,205,Charles River Associates,Health Economics,Public Policy
"Arpita Roy, Ph.D",Assistant Professor,42,117,6036,University of California,Berkeley,Environmental Chemistry
Prof. Dr. Arshad Javaid,"Department of Plant Pathology,  University of the Punjab Lahore, Pakistan",49,251,10280,University of the Punjab,Plant Pathology,Fungal Diseases
aarti ashok bohora,Reader,3,3,178,Reader,Education,Social Sciences
Dr Arti Kasulkar Narde,Professor Forensic Medicine & Toxicology,6,4,267,Government Medical College,Nagpur,Forensic Toxicology
Dr.K.S.Joseph Wilson,Arul  Anandar College,14,23,940,Arul Anandar College,Environmental Science,Sustainable Development
George Joseph M,"Arul Anandar College, Karumathur",0,0,0,Madurai Kamaraj University,Environmental Science,Sustainable Development
Arun Balaji Buduru,IIIT-Delhi,12,14,589,IIIT-Delhi,Human-Computer Interaction,Data Privacy
Arun Chattopadhyay,"Department of Chemistry, Indian Institute of Technology Guwahati",51,154,10465,Indian Institute of Technology Guwahati,Nanomaterials,Photochemistry
Dr. Arun D.Mahindrakar,"Department of Electrical Engineering, Indian Institute of Technology Madras",19,26,1807,Indian Institute of Technology Madras,Control Systems,Robotics
Arun Dayal Udai,"Assistant Professor, Indian Institute of Technology (ISM) Dhanbad",9,9,281,Indian Institute of Technology (ISM) Dhanbad,Geotechnical Engineering,Rock Mechanics
Arun Goyal,"Professor, Department of Biosciences and Bioengineering",53,189,10709,Indian Institute of Technology Guwahati,Metabolic Engineering,Synthetic Biology
ARUN S KARLAMANGLA,"Professor of Internal Medicine and Geriatrics, UCLA",75,179,27841,University of California,Los Angeles (UCLA),Aging and Geriatrics
Arun K. Shukla,Professor and Sonu Agrawal Memorial Chair,43,75,9906,Indian Institute of Technology Kanpur,Structural Biology,G Protein-Coupled Receptors
Arun K. Tangirala,IIT Madras,19,41,1913,IIT Madras,Process Systems Engineering,Process Control
Arun Kumar Kota,North Carolina State University,34,49,6986,North Carolina State University,Materials Science,Nanotechnology
Arun Kumar Kuchibhotla,Carnegie Mellon University,17,29,1061,Carnegie Mellon University,Statistical Machine Learning,Causal Inference
Arun Kumar Majumdar,"Emeritus Professor JISIASR, Kolkata ,Former Professor Computer Science and Engineering, Indian",33,75,5467,JISIASR,Computer Science,Engineering
Arun Kumar Sharma,"Professor Department of Plant Molecular Biology, University of Delhi, South Campus",22,33,6359,University of Delhi,Plant Molecular Biology,Genetic Engineering
Dr. Arun Kumar Singh,"Assist. Prof of Botany, Dayanand Anglo-Vedic College, Kanpur, C.S.J.M. University, Kanpur,UP",64,471,20441,C.S.J.M. University,Botany,Plant Physiology
Arun Kumar Thalla,Professor at NITK Surathkal,16,21,2037,NITK Surathkal,Structural Engineering,Earthquake Engineering
Arun Kumar Yadav,"Postdoc fellow at Kumoh National Institute of Technology, South Korea",27,43,1689,Kumoh National Institute of Technology,Materials Science,Nanotechnology
Dr. Arun Lal Srivastav,"Associate Professor, Chitkara University, Himachal Pradesh",30,49,4632,Chitkara University,Environmental Science,Water Resources Management
Arun Kumar. M,Research Scholar,68,226,17372,Research Scholar,Artificial Intelligence,Data Science
Arun S Mujumdar,"Adjunct Professor, Bioresource Engg & Mining Engineering, McGill University, Canada",126,887,67949,McGill University,Drying Technologies,Renewable Energy Systems
Dr. Arun Pachai Kannu,IIT Madras,15,19,633,IIT Madras,Materials Science,Nanotechnology
arun soni,Professor of Computer science Engineering,10,11,483,Lovely Professional University,Artificial Intelligence,Data Mining
Arun Sreekumar,Charles C Bell Endowed Professor,56,97,13489,University of Arkansas,Cancer Biology,Molecular Therapeutics
Arun Kadam,Assistance Professor,1,1,62,Assistance Professor,Data Science,Artificial Intelligence
KV Arun Kumar,"Professor & Head, TMDCRC, TMU, Moradabad, U.P.",20,72,3545,Teerthanker Mahaveer University,Medical Research,Clinical Studies
Aruna Pradhan,Brigham and Women's Hospital,53,86,21399,Brigham and Women's Hospital,Cardiovascular Disease,Health Disparities
Aruna Malapati,BITS PILANI Hyderabad Campus,11,11,645,BITS Pilani Hyderabad Campus,Data Mining,Machine Learning
Aruna P,Associate Professor,10,10,248,Anna University,Wireless Communication,Signal Processing
Sarav Arunachalam,"University of North Carolina at Chapel Hill, Deputy Director, Institute for the Environment",29,48,2476,University of North Carolina at Chapel Hill,Environmental Sustainability,Climate Change Mitigation
Arunangshu Ghosh,National Institute of Technology Patna,16,21,793,National Institute of Technology Patna,Power Systems,Renewable Energy Integration
Arunasis Chakraborty,Indian Institute of Technology Guwahati,16,20,786,Indian Institute of Technology Guwahati,Fluid Mechanics,Heat Transfer
Dr. B. Arundhati,Vignan's Institute of Information Technology,5,3,92,Vignan's Institute of Information Technology,Data Mining,Artificial Intelligence
Arunika Mukhopadhaya,"Professor, Department of Biollogical Sciences, Indian Institute of Science Education and",17,20,1238,Indian Institute of Science Education and Research,Molecular Biology,Cell Signaling
Arunima Haldar,"Associate Professor, SPJIMR",16,20,1320,SPJIMR,Organizational Behavior,Leadership Development
Arunn Narasimhan,"Professor, Indian Institute of Technology Madras, Chennai, India",23,47,1815,Indian Institute of Technology Madras,Heat Transfer,Fluid Dynamics
Dr. Arun Raj Kumar P.,"Associate Professor of Computer Science and Engineering, NIT Calicut, Kozhikode",13,16,890,NIT Calicut,Computer Science,Engineering
Arup Baisya,Writer and social activist,2,0,6,Writer and social activist,Social Justice,Human Rights
Arup Banerjee,Regional Centre for Biotechnology,30,44,2389,Regional Centre for Biotechnology,Cancer Biology,Molecular Therapeutics
Arup Kumar Sarma,"Professor of Civil Engineering, Indian Institute of Technology Guwahati",28,142,5218,Indian Institute of Technology Guwahati,Water Resources Engineering,Environmental Hydraulics
Arup Mukherjee,"Professor Biotechnology, Maulana Abul kalam Azad University of Technology, WBUT, Kolkata, India",52,266,10875,Maulana Abul Kalam Azad University of Technology,Biotechnology,Genetic Engineering
Arup Nandy,"IISc Bangalore, IIT Guwahati",11,14,376,Indian Institute of Science (IISc) Bangalore,Fluid Dynamics,Turbulence Modeling
Arup Ratan Jana,Scientific Officer,4,3,81,Scientific Officer,Astrophysics,Cosmology
Arvind Neelakantan,Meta,30,37,67737,Meta,Natural Language Processing,Artificial Intelligence
Professor. Arvind Choubey,"Director, Indian Institute of Information Technology Bhagalpur.& Professor (HAG) NIT Jamshedpur.",17,27,849,Indian Institute of Information Technology Bhagalpur,Artificial Intelligence,Data Science
Arvind K Sinha,"Professor of Psychology (OB Area), Dept of HSS, Indian Institute of Technology Kanpur, Kanpur - 208016, India",35,135,5541,Indian Institute of Technology Kanpur,Organizational Behavior,Psychology
dr arvind khare,Senior professor anaesthesiologist,6,4,118,All India Institute of Medical Sciences (AIIMS),Anaesthesiology,Pain Management
Arvind K Jain,PROFESSOR,51,283,14300,University of Regina,Finance,Corporate Governance
Arvind Kumar Sharma,"Head, Birsa agricultural university",37,190,7365,Birsa Agricultural University,Agricultural Sciences,Crop Improvement
Dr. Swati Arvind Kumar Srivastava,Associate Professor,6,2,178,Indian Institute of Technology (IIT) Delhi,Materials Science,Nanotechnology
RATHOD ARAVIND KUMAR,Sr Technical Officer,38,168,21056,CSIR-National Chemical Laboratory,Materials Science,Chemical Engineering
Arvind Malhotra,University of North Carolina,45,61,38506,University of North Carolina,Innovation Management,Digital Transformation
Arvind Patel,Gumpro Drilling Fluid,39,84,4641,Gumpro Drilling Fluid,Drilling Fluid Technology,Petroleum Engineering
S.Aravind Raj,"Professor, School of Mechanical Engineering, Vellore Institute of Technology",20,26,1531,Vellore Institute of Technology,Mechanical Engineering,Materials Science
Arvind Singh Negi,"Chief Scientist, CSIR-Central Institute of Medicinal and Aromatic Plants",44,95,6220,CSIR-Central Institute of Medicinal and Aromatic Plants,Medicinal Plants,Aromatic Plants
Arvind Sahay,sac,10,10,288,Indian Institute of Management Ahmedabad,Marketing Strategy,Consumer Behavior
Aravind L,"Senior Investigator, National Institutes of Health",152,366,122073,National Institutes of Health,Computational Biology,Molecular Evolution
Arya Roychowdhury,"PhD scholar, IIT Kanpur",2,0,5,IIT Kanpur,Machine Learning,Computer Vision
Asha Gupta,Guru Jambheshwar University of Science & Technology,60,272,15885,Guru Jambheshwar University of Science & Technology,Environmental Science,Sustainable Development
Asharani PV,"Senior Manager, Research, Institute of Mental Health",23,32,9696,Institute of Mental Health,Mental Health Research,Psychological Interventions
Ashan Gunarathne,"Asst Professor of Cardiology, University of Nottingham",15,17,996,University of Nottingham,Cardiology,Cardiovascular Disease Prevention
Ashani Dasgupta,"Researcher and Faculty of Mathematics, Cheenta Academy",2,1,17,Cheenta Academy,Number Theory,Mathematical Olympiad Training
